                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      4,                 1.8636,                 2.7348,                  1.577,                0.00658,                 0.5207,                0.02366,                0.00854,                 2.1962,                 3.5206,                 1.9877,               0.000766,               0.000766,               0.000766
                      5,                 1.8599,                 2.6168,                 1.5629,                0.52406,                0.11957,                0.01895,                0.00703,                 2.1881,                 3.7403,                 2.1172,             0.00092605,             0.00092605,             0.00092605
                      6,                 1.9391,                   2.58,                  1.597,                 0.0943,                0.16557,                0.04397,                 0.0146,                 2.2306,                 3.2824,                 2.0879,              0.0010718,              0.0010718,              0.0010718
                      7,                  1.918,                 2.5894,                 1.6113,                0.17321,                 0.1679,                0.06455,                0.02074,                 2.2276,                  3.191,                 2.0271,              0.0012032,              0.0012032,              0.0012032
                      8,                 1.9501,                 2.5357,                 1.6019,                0.14586,                0.14586,                0.05041,                0.01773,                 2.2785,                 3.3108,                  2.145,              0.0012819,              0.0012819,              0.0012819
                      9,                 1.9176,                 2.5047,                 1.5915,                0.19724,                  0.108,                0.07172,                0.03124,                 2.2425,                 3.5267,                 2.1914,              0.0012819,              0.0012819,              0.0012819
                     10,                 1.8898,                 2.4544,                 1.5743,                0.12938,                0.29186,                0.09572,                0.04126,                 2.2857,                 3.2864,                 2.1392,              0.0012269,              0.0012269,              0.0012269
                     11,                 1.8752,                 2.4538,                 1.5435,                 0.1302,                0.16744,                0.07852,                0.03919,                 2.3093,                 3.3513,                 2.1348,              0.0011719,              0.0011719,              0.0011719
                     12,                  1.994,                 2.4161,                 1.6287,                0.22326,                0.16783,                0.10324,                0.04154,                 2.2392,                 3.1961,                 2.0711,              0.0011169,              0.0011169,              0.0011169
                     13,                  1.865,                 2.3348,                 1.5614,                0.16421,                0.17009,                0.07792,                0.02971,                 2.1591,                 2.8841,                 1.9862,              0.0010619,              0.0010619,              0.0010619
                     14,                 1.8167,                 2.2093,                 1.5211,                0.20087,                0.25463,                0.09756,                0.03712,                 2.1388,                 3.2567,                 2.0656,              0.0010069,              0.0010069,              0.0010069
                     15,                 1.8038,                 2.1606,                 1.5115,                0.10771,                0.27613,                0.07388,                0.03156,                 2.1285,                 3.9054,                 2.1236,             0.00095186,             0.00095186,             0.00095186
                     16,                 1.7759,                  2.226,                  1.496,                 0.0993,                0.23265,                0.06482,                0.02588,                 2.1545,                 3.2366,                 2.0566,             0.00089685,             0.00089685,             0.00089685
                     17,                 1.7874,                 2.1359,                 1.4607,                0.16098,                0.25439,                0.10645,                0.04462,                 2.0487,                 3.2661,                 1.9621,             0.00084184,             0.00084184,             0.00084184
                     18,                 1.7667,                 2.0928,                 1.4549,                0.20294,                0.32181,                0.12737,                0.05463,                 2.1477,                  3.074,                 1.9888,             0.00078682,             0.00078682,             0.00078682
                     19,                 1.7094,                 2.0986,                 1.4399,                0.19017,                0.23994,                0.12908,                0.05885,                 2.0905,                 2.7608,                 1.9236,             0.00073181,             0.00073181,             0.00073181
                     20,                 1.7401,                 2.0772,                  1.458,                0.21833,                0.25902,                0.12884,                0.04685,                 2.1239,                 2.8499,                 1.9354,              0.0006768,              0.0006768,              0.0006768
                     21,                 1.8743,                 2.4443,                 1.5787,                0.24588,                0.19958,                0.12893,                0.04992,                 1.9793,                 2.8339,                  1.772,             0.00062179,             0.00062179,             0.00062179
                     22,                 1.7093,                  2.139,                 1.4573,                0.16037,                0.15564,                 0.1011,                0.04128,                  2.002,                 2.8474,                  1.793,             0.00056678,             0.00056678,             0.00056678
                     23,                 1.7356,                 2.1335,                 1.4739,                0.18756,                0.13287,                0.10196,                0.03986,                 2.0155,                 2.8914,                 1.7983,             0.00051177,             0.00051177,             0.00051177
                     24,                   1.69,                 2.1177,                 1.4403,                0.29948,                0.17565,                0.11737,                0.04582,                 2.0105,                 2.9691,                 1.8144,             0.00045676,             0.00045676,             0.00045676
                     25,                  1.721,                 2.0555,                   1.46,                 0.2798,                0.20537,                0.11537,                0.04416,                 2.0252,                 2.9858,                 1.8382,             0.00040175,             0.00040175,             0.00040175
                     26,                 1.6257,                 1.9193,                 1.4031,                0.22487,                0.21554,                0.12878,                0.05092,                 2.0345,                 2.9631,                 1.8201,             0.00034674,             0.00034674,             0.00034674
                     27,                 1.6071,                 1.9409,                 1.3728,                0.35105,                0.18316,                0.16292,                0.06406,                 2.0458,                 2.7846,                 1.8298,             0.00029172,             0.00029172,             0.00029172
                     28,                 1.6087,                  1.903,                 1.3934,                0.30823,                 0.2049,                 0.1662,                0.07189,                 1.9513,                 2.6592,                 1.7612,             0.00023671,             0.00023671,             0.00023671
                     29,                 1.5257,                 1.8029,                 1.3446,                0.34023,                0.21551,                0.17842,                0.07739,                  1.936,                 2.6188,                 1.7492,              0.0001817,              0.0001817,              0.0001817
                     30,                  1.549,                 1.7698,                 1.3344,                0.31128,                 0.2366,                0.17845,                0.07282,                 1.9374,                 2.6277,                 1.7528,             0.00012669,             0.00012669,             0.00012669
